# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
C3L-01884	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01884.maf.gz	20024905	MAF	6ae0099c02919779f041b7d5f198d838	C3L-01884.WXS.N.hg38	50490bfc-a7ba-4b19-b06d-9cd958a4e0e2
C3L-01884	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01884.singleCaller.fixedHeader.vcf.gz	12199684	VCF	c7d0f7e22a5c10d28e648dd4c229d31b	C3L-01884.WXS.N.hg38	50490bfc-a7ba-4b19-b06d-9cd958a4e0e2
C3L-02127	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02127.maf.gz	23720265	MAF	9d71020e4a509c3c4b288507909a8af9	C3L-02127.WXS.N.hg38	e51e79c4-6465-4d37-834a-06eb40ebcfdc
C3L-02127	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02127.singleCaller.fixedHeader.vcf.gz	14793677	VCF	531f65bf89649d49269eafa9b3d07b28	C3L-02127.WXS.N.hg38	e51e79c4-6465-4d37-834a-06eb40ebcfdc
C3L-02130	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02130.maf.gz	26085882	MAF	4e59204f2e402a2aee3bf04d05a9e1ce	C3L-02130.WXS.N.hg38	22df6e39-0947-4591-82c0-6be07cbb8dbe
C3L-02130	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02130.singleCaller.fixedHeader.vcf.gz	18232992	VCF	555a5127f223556bfee18378aeaa9a29	C3L-02130.WXS.N.hg38	22df6e39-0947-4591-82c0-6be07cbb8dbe
C3L-02163	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02163.maf.gz	19564757	MAF	ad1134510a1b708cef09c8a362da20ea	C3L-02163.WXS.N.hg38	5efb9f9b-8b67-4185-90af-3b6742fe3a23
C3L-02163	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02163.singleCaller.fixedHeader.vcf.gz	11527082	VCF	2a12c949ef4d6228dd9cdc8a429cfd2a	C3L-02163.WXS.N.hg38	5efb9f9b-8b67-4185-90af-3b6742fe3a23
C3L-02164	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02164.maf.gz	26522045	MAF	32a6b4e5a24ab902061208bd4914e985	C3L-02164.WXS.N.hg38	2619f144-48ba-440e-9317-d91207766303
C3L-02164	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02164.singleCaller.fixedHeader.vcf.gz	16231181	VCF	489906e987f8cb2acb3397cb00a207ef	C3L-02164.WXS.N.hg38	2619f144-48ba-440e-9317-d91207766303
